"Location","Locationcode","Resono-ID","Start","End","Visits"
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",143
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T03:45:00+00:00","2020-10-10T03:59:59+00:00",110
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T04:00:00+00:00","2020-10-10T04:14:59+00:00",100
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T04:15:00+00:00","2020-10-10T04:29:59+00:00",106
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T04:30:00+00:00","2020-10-10T04:44:59+00:00",67
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T04:45:00+00:00","2020-10-10T04:59:59+00:00",57
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T05:00:00+00:00","2020-10-10T05:14:59+00:00",57
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T05:15:00+00:00","2020-10-10T05:29:59+00:00",76
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T05:30:00+00:00","2020-10-10T05:44:59+00:00",55
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T05:45:00+00:00","2020-10-10T05:59:59+00:00",45
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T00:00:00+00:00","2020-10-10T00:14:59+00:00",261
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T00:15:00+00:00","2020-10-10T00:29:59+00:00",208
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T00:30:00+00:00","2020-10-10T00:44:59+00:00",197
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T00:45:00+00:00","2020-10-10T00:59:59+00:00",205
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T01:00:00+00:00","2020-10-10T01:14:59+00:00",110
"Zaagpoortbuurt","9a35df3e-ce0e-4f1d-8190-4d8152f49ec4","rcd23006","2020-10-10T01:15:00+00:00","2020-10-10T01:29:59+00:00",101
