"Datum";"VertrekHalteCode";"VertrekHalteNaam";"VertrekLat";"VertrekLon";"AantalReizen"
"10/12/2020 12:00:00 AM";"01110";"Rode Kruisstraat";"4.92847908";"52.39455548";"72"
"10/12/2020 12:00:00 AM";"01111";"Rode Kruisstraat";"4.92881363";"52.39488033";"24"
"10/12/2020 12:00:00 AM";"01112";"Waddenweg";"4.92695639";"52.39263520";"43"
"10/12/2020 12:00:00 AM";"01116";"Merelstraat";"4.92492850";"52.38986809";"17"
"10/12/2020 12:00:00 AM";"01117";"Merelstraat";"4.92505977";"52.38995848";"23"
"10/12/2020 12:00:00 AM";"01119";"Hamerstraat";"4.92267460";"52.38626421";"10"
"10/12/2020 12:00:00 AM";"01122";"Havikslaan";"4.91829259";"52.38532121";"46"
"10/12/2020 12:00:00 AM";"01125";"Valkenweg";"4.91377809";"52.38304734";"19"
"10/12/2020 12:00:00 AM";"01137";"Bundlaan";"4.90248304";"52.38843021";"14"
"10/12/2020 12:00:00 AM";"01151";"Mosplein";"4.91407704";"52.39357310";"168"
"10/12/2020 12:00:00 AM";"01155";"Mosplein";"4.91358361";"52.39300490";"105"
"10/12/2020 12:00:00 AM";"01156";"Sneeuwbalstraat";"4.91395944";"52.39633184";"118"
"10/12/2020 12:00:00 AM";"01158";"Sneeuwbalstraat";"4.91413517";"52.39638647";"46"
"10/12/2020 12:00:00 AM";"01166";"Barkpad";"4.91174689";"52.40262332";"37"
"10/12/2020 12:00:00 AM";"01167";"Tjalkstraat";"4.91007632";"52.40492643";"219"
"10/12/2020 12:00:00 AM";"01168";"Tjalkstraat";"4.91116991";"52.40572174";"110"
"10/12/2020 12:00:00 AM";"01171";"Voordek";"4.91677702";"52.41048960";"101"
"10/12/2020 12:00:00 AM";"01172";"Voordek";"4.91743292";"52.41100450";"85"
"10/12/2020 12:00:00 AM";"01173";"Tussendek";"4.91923925";"52.41253056";"95"
"10/12/2020 12:00:00 AM";"01174";"Tussendek";"4.91996775";"52.41313560";"94"
"10/12/2020 12:00:00 AM";"01175";"Staghof";"4.92253391";"52.41370293";"17"
"10/12/2020 12:00:00 AM";"01176";"Staghof";"4.92294855";"52.41340796";"54"
"10/12/2020 12:00:00 AM";"01177";"Masthof";"4.92557694";"52.41224085";"34"
"10/12/2020 12:00:00 AM";"01178";"Masthof";"4.92600624";"52.41194593";"104"
"10/12/2020 12:00:00 AM";"01179";"Grootzeil";"4.92427558";"52.40878453";"26"
"10/12/2020 12:00:00 AM";"01180";"Grootzeil";"4.92316491";"52.40818700";"152"
"10/12/2020 12:00:00 AM";"01188";"Barkpad";"4.91148172";"52.40268517";"78"
"10/12/2020 12:00:00 AM";"01189";"Pinksterbloemstraat";"4.91221693";"52.39852684";"109"
"10/12/2020 12:00:00 AM";"01191";"Pinksterbloemstraat";"4.91203754";"52.39881372";"35"
"10/12/2020 12:00:00 AM";"01194";"Slijperweg";"4.90768400";"52.39921860";"88"
"10/12/2020 12:00:00 AM";"01199";"Klaprozenweg";"4.89670788";"52.40322709";"25"
"10/12/2020 12:00:00 AM";"01200";"Klaprozenweg";"4.89588253";"52.40344836";"124"
"10/12/2020 12:00:00 AM";"01203";"Meteorensingel";"4.89157478";"52.41021609";"24"
"10/12/2020 12:00:00 AM";"01204";"Meteorensingel";"4.89107380";"52.41033083";"123"
"10/12/2020 12:00:00 AM";"01205";"Maanstraat";"4.88734967";"52.41214866";"20"
"10/12/2020 12:00:00 AM";"01206";"Maanstraat";"4.88683437";"52.41222737";"103"
"10/12/2020 12:00:00 AM";"01209";"Meteorenweg";"4.88130901";"52.41472045";"71"
"10/12/2020 12:00:00 AM";"01210";"Kometensingel";"4.88262603";"52.41652359";"65"
"10/12/2020 12:00:00 AM";"01212";"Oostzanerdijk";"4.88149588";"52.42023965";"14"
"10/12/2020 12:00:00 AM";"01213";"Oostzanerdijk";"4.88083286";"52.42037163";"47"
"10/12/2020 12:00:00 AM";"01214";"Bovenkruier";"4.88405513";"52.42011573";"28"
"10/12/2020 12:00:00 AM";"01215";"Bovenkruier";"4.88414138";"52.42028686";"154"
"10/12/2020 12:00:00 AM";"01216";"Petmolen";"4.88552082";"52.41790200";"13"
"10/12/2020 12:00:00 AM";"01219";"Petmolen";"4.88623439";"52.41719500";"100"
"10/12/2020 12:00:00 AM";"01222";"Standerdmolen";"4.89218393";"52.41620440";"47"
"10/12/2020 12:00:00 AM";"01224";"Appelweg";"4.89561599";"52.41555361";"18"
"10/12/2020 12:00:00 AM";"01226";"Druivenstraat";"4.89870428";"52.41274426";"13"
"10/12/2020 12:00:00 AM";"01227";"Druivenstraat";"4.89810627";"52.41232837";"22"
"10/12/2020 12:00:00 AM";"01228";"Ananasplein";"4.89555645";"52.41032256";"42"
"10/12/2020 12:00:00 AM";"01229";"Ananasplein";"4.89611082";"52.41069335";"27"
"10/12/2020 12:00:00 AM";"01237";"Beemsterstraat";"4.95210741";"52.39712521";"82"
"10/12/2020 12:00:00 AM";"01277";"Statenjachtstraat";"4.91364478";"52.40790666";"210"
"10/12/2020 12:00:00 AM";"01278";"Statenjachtstraat";"4.91380643";"52.40790731";"107"
"10/12/2020 12:00:00 AM";"01305";"Station Noord";"4.93215715";"52.40264056";"17"
"10/12/2020 12:00:00 AM";"01314";"Station Noord";"4.93342661";"52.40207921";"217"
"10/12/2020 12:00:00 AM";"01315";"Station Noord";"4.93339740";"52.40206112";"303"
"10/12/2020 12:00:00 AM";"01316";"Station Noord";"4.93336820";"52.40204304";"37"
"10/12/2020 12:00:00 AM";"01329";"Stenendokweg";"4.89310573";"52.40867661";"26"
"10/12/2020 12:00:00 AM";"01330";"Stenendokweg";"4.89295540";"52.40766038";"124"
"10/12/2020 12:00:00 AM";"01339";"G.J. Scheurleerweg";"4.92911695";"52.40391408";"23"
"10/12/2020 12:00:00 AM";"01351";"Oosterlengte";"4.92232257";"52.40582894";"140"
"10/12/2020 12:00:00 AM";"01352";"Oosterlengte";"4.92206974";"52.40611555";"27"
